831466,16,8615,20414,-9,1649650562,1.0
831466,16,8615,17261,-9,1649650613,1.0
831466,16,8615,17262,-8,1649650691,1.0
831466,16,8615,17263,-9,1649650714,1.0
832137,17,7471,7657,-3,1649649213,0.14285714285714285
832198,17,7471,593,-1,1649649434,0.029411764705882353
832886,18,7422,15817,-2,1649649023,0.8333333333333334
832886,18,7422,15819,-1,1649649073,0.8333333333333334
832886,18,7422,15820,-2,1649649103,0.8333333333333334
832886,18,7422,15822,-2,1649649113,0.8333333333333334
832886,18,7422,15697,-3,1649649192,0.8333333333333334
832886,18,7422,15698,-3,1649649242,0.8333333333333334
832886,18,7422,30996,-2,1649649294,0.8333333333333334
832886,18,7422,15833,-2,1649649371,0.8333333333333334
832886,18,7422,15835,-2,1649649431,0.8333333333333334
832886,18,7422,15839,-2,1649649481,0.8333333333333334
832886,18,7422,15842,-2,1649649541,0.8333333333333334
832886,18,7422,15843,-2,1649649561,0.8333333333333334
832886,18,7422,15845,-2,1649649612,0.8333333333333334
832886,18,7422,15847,-3,1649649632,0.8333333333333334
832886,18,7422,15848,-2,1649649662,0.8333333333333334
832886,18,7422,15851,-2,1649649712,0.8333333333333334
832886,18,7422,375,-2,1649649792,0.8333333333333334
832886,18,7422,31104,-2,1649649813,0.8333333333333334
832886,18,7422,32059,-1,1649649841,0.8333333333333334
832886,18,7422,15874,-1,1649649901,0.8333333333333334
832886,18,7422,15875,-1,1649649944,0.8333333333333334
832886,18,7422,15876,-2,1649649991,0.8333333333333334
832886,18,7422,15877,-1,1649650022,0.8333333333333334
832886,18,7422,20851,-2,1649650212,0.8333333333333334
832886,18,7422,null,-2,1649650714,0.8333333333333334
832905,18,7421,16962,-1,1649649632,0.017241379310344827
832906,18,7345,17582,-1,1649649871,0.125
832906,18,7345,17586,-1,1649649911,0.125
832906,18,7345,17587,-1,1649649924,0.125
832906,18,7345,17595,-1,1649649991,0.125
833455,2,0,2721,-1,1649650112,0.45454545454545453
833455,2,0,2709,-1,1649650144,0.45454545454545453
833455,2,0,12270,-1,1649650172,0.45454545454545453
833455,2,0,2677,-1,1649650222,0.45454545454545453
833455,2,0,31592,-1,1649650262,0.45454545454545453
833455,2,0,2727,-2,1649650292,0.45454545454545453
833455,2,0,2681,-2,1649650321,0.45454545454545453
833455,2,0,33,-2,1649650341,0.45454545454545453
833455,2,0,2682,-1,1649650371,0.45454545454545453
833455,2,0,3081,-1,1649650381,0.45454545454545453
