"","route","day","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"32","38","4_19",4747,1731,0,0.364651358752897,0,0,0
"33","39","4_19",3703,392,0,0.10586011342155,0,0,0
"34","40","4_19",6952,2013,7,0.289556962025316,0.00100690448791715,0,3.26666666666667
"35","42","4_19",9757,2606,0,0.267090294147791,0,0,0
"36","43","4_19",3207,459,0,0.143124415341441,0,0,0
"37","44","4_19",4343,1337,9,0.307851715404099,0.00207230025328114,0,4.15
"38","45","4_19",5283,1445,2,0.273518833995836,0.000378572780617074,0,0
"39","46","4_19",3299,1040,0,0.315247044558957,0,0,0
"40","47","4_19",15837,4373,5,0.276125528824904,0.000315716360421797,0,3.76666666666667
"41","47M","4_19",1612,366,0,0.227047146401985,0,0,0
"42","48","4_19",7021,3279,1,0.467027488961686,0.000142429853297251,0,0.466666666666667
"43","49","4_19",4591,1597,2,0.347854497930734,0.000435634937922021,0,0
"44","50","4_19",3312,1193,0,0.360205314009662,0,0,0
"45","52","4_19",7012,3026,9,0.431545921277809,0.00128351397604107,0,7.5
"46","53","4_19",3126,474,0,0.151631477927063,0,0,0
"47","54","4_19",4404,1890,12,0.429155313351499,0.00272479564032698,0,4.96666666666667
"48","55","4_19",7979,1983,0,0.248527384384008,0,0,0
"49","56","4_19",8834,3302,1,0.373783110708626,0.000113199003848766,0,0
"50","57","4_19",12898,3791,0,0.29392153822298,0,0,0
"51","58","4_19",11039,4191,4,0.379653954162515,0.000362351662288251,0,1.33333333333333
"52","59","4_19",2959,745,0,0.251774248056776,0,0,0
"53","60","4_19",4585,1587,0,0.346128680479826,0,0,0
"54","61","4_19",5478,1516,0,0.276743336984301,0,0,0
"55","62","4_19",201,134,0,0.666666666666667,0,0,0
"56","64","4_19",7097,2162,0,0.304635761589404,0,0,0
"57","65","4_19",7031,2026,17,0.288152467643294,0.00241786374626653,0,4.03333333333333
"58","66","4_19",6674,2370,22,0.355109379682349,0.00329637398861253,0,11.8
"59","67","4_19",5867,1331,0,0.22686211010738,0,0,0
"60","68","4_19",2808,875,0,0.311609686609687,0,0,0
"61","70","4_19",8442,2590,0,0.306799336650083,0,0,0
"62","73","4_19",2435,289,1,0.118685831622177,0.000410677618069815,0,0
"63","75","4_19",2431,572,6,0.235294117647059,0.00246812011517894,0,2.4
"64","77","4_19",1620,461,0,0.284567901234568,0,0,0
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","79","4_19",3690,913,0,0.247425474254743,0,0,0
"67","80","4_19",88,24,0,0.272727272727273,0,0,0
"68","84","4_19",6537,1797,0,0.274896741624598,0,0,0
"69","88","4_19",2604,510,0,0.195852534562212,0,0,0
"70","89","4_19",4450,956,0,0.214831460674157,0,0,0
"71","BLVDDIR","4_19",1052,312,0,0.296577946768061,0,0,0
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","G","4_19",12206,3064,94,0.251024086514829,0.00770113059151237,0,53.7
"74","H","4_19",6159,1559,0,0.253125507387563,0,0,0
"75","J","4_19",4403,1281,0,0.29093799682035,0,0,0
"76","K","4_19",9653,2640,0,0.27349010670258,0,0,0
"77","L","4_19",7547,1956,8,0.259175831456208,0.00106002385053664,0,5.86666666666667
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","R","4_19",6742,2766,0,0.410264016612281,0,0,0
"80","XH","4_19",5312,2044,0,0.384789156626506,0,0,0
"81","10","4_19",4811,1590,23,0.330492621076699,0.00478071087092081,0,7.76666666666667
"82","15","4_19",6906,2755,19,0.398928467998842,0.00275123081378511,0,8.53333333333333
"83","204","4_19",994,83,0,0.0835010060362173,0,0,0
"84","310","4_19",666,158,0,0.237237237237237,0,0,0
"85","311","4_19",681,424,0,0.622613803230543,0,0,0
"86","312","4_19",1,0,0,0,0,0,0
"87","LUCYGO","4_19",321,16,0,0.0498442367601246,0,0,0
"88","LUCYGR","4_19",392,57,0,0.145408163265306,0,0,0
"89","11","4_19",4900,3496,18,0.713469387755102,0.0036734693877551,0,0
"90","13","4_19",4530,1662,2,0.366887417218543,0.000441501103752759,0,0
"91","34","4_19",3255,1030,8,0.316436251920123,0.00245775729646697,0,0
"92","36","4_19",5448,2061,10,0.378303964757709,0.00183553597650514,0,0
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","90","4_19",1194,559,0,0.468174204355109,0,0.2,0
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","92","4_19",995,158,0,0.158793969849246,0,0,0
"97","93","4_19",2411,552,0,0.228950642886769,0,0,0
"98","94","4_19",1010,189,0,0.187128712871287,0,0,0
"99","95","4_19",1709,433,0,0.253364540667057,0,0,0
"100","96","4_19",2590,723,0,0.279150579150579,0,0,0
"101","97","4_19",1881,525,0,0.279106858054226,0,0,0
"102","98","4_19",1317,253,0,0.192103264996204,0,0,0
"103","99","4_19",1988,522,0,0.262575452716298,0,0,0
"104","124","4_19",1724,382,0,0.221577726218097,0,0,0
"105","127","4_19",1104,409,3,0.370471014492754,0.00271739130434783,24.4333333333333,2.91666666666667
"106","128","4_19",1137,38,0,0.0334212840809147,0,2.05,0
"107","129","4_19",2861,1061,0,0.370849353372946,0,66.6,0
"108","130","4_19",1936,583,0,0.301136363636364,0,34.8,0
"109","131","4_19",767,132,0,0.172099087353325,0,0,0
"110","132","4_19",1092,271,0,0.248168498168498,0,80.85,0
"111","133","4_19",182,24,0,0.131868131868132,0,0,0
"112","135","4_19",1369,68,0,0.0496712929145362,0,0,0
"113","139","4_19",985,347,0,0.352284263959391,0,1.46666666666667,0
"114","150","4_19",53,0,0,0,0,0,0
"115","201","4_19",287,15,0,0.0522648083623693,0,0,0
"116","206","4_19",269,82,0,0.304832713754647,0,1.23333333333333,0
"117","101","4_19",1344,368,0,0.273809523809524,0,0,0
"118","102","4_19",1120,395,0,0.352678571428571,0,0,0
"119","103","4_19",808,285,1,0.352722772277228,0.00123762376237624,3.18333333333333,0.683333333333333
"120","104","4_19",3601,1412,3,0.392113301860594,0.000833101916134407,85.85,1.55
"121","105","4_19",1653,272,0,0.164549304295221,0,0,0
"122","106","4_19",2321,494,0,0.212839293408014,0,2.33333333333333,0
"123","107","4_19",1518,773,2,0.509222661396574,0.00131752305665349,107.766666666667,0.816666666666667
"124","108","4_19",5430,1195,14,0.220073664825046,0.00257826887661142,63.1333333333333,10.0333333333333
"125","109","4_19",4770,735,58,0.154088050314465,0.0121593291404612,1.5,81.8
"126","110","4_19",2862,957,3,0.334381551362683,0.0010482180293501,53.4833333333333,1.2
"127","111","4_19",1916,776,3,0.405010438413361,0.00156576200417537,56.15,1.1
"128","112","4_19",1528,451,2,0.295157068062827,0.00130890052356021,25.2166666666667,2.23333333333333
"129","113","4_19",6692,1535,19,0.229378362223551,0.00283921099820681,25.85,8.2
"130","114","4_19",2654,705,5,0.265636774679729,0.00188394875659382,10.7333333333333,3.83333333333333
"131","115","4_19",1722,598,0,0.347270615563298,0,43.5333333333333,0
"132","117","4_19",3525,917,0,0.260141843971631,0,11.05,0
"133","118","4_19",1285,188,0,0.146303501945525,0,0.833333333333333,0
"134","119","4_19",1201,50,0,0.0416319733555371,0,15.55,0
"135","120","4_19",975,175,2,0.179487179487179,0.00205128205128205,25.3833333333333,2.7
"136","123","4_19",1203,157,0,0.13050706566916,0,6.06666666666667,0
"137","125","4_19",2017,587,0,0.291026276648488,0,38.3166666666667,0
"138","126","4_19",662,30,0,0.0453172205438066,0,0.666666666666667,0
