"","route","day","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"1","1","4_19",2953,1040,0,0.35218421943786,0,0,0
"2","2","4_19",6642,1739,1,0.261818729298404,0.000150557061126167,0,0.233333333333333
"3","3","4_19",6410,2177,0,0.339625585023401,0,0,0
"4","4","4_19",6981,2362,4,0.338346941698897,0.000572983813207277,0,1.46666666666667
"5","5","4_19",4692,878,0,0.187127024722933,0,0,0
"6","6","4_19",2594,953,0,0.367386276021588,0,0,0
"7","7","4_19",7941,2486,0,0.313058808714268,0,0,0
"8","8","4_19",471,52,0,0.110403397027601,0,0,0
"9","9","4_19",3747,1250,0,0.333600213504137,0,0,0
"10","12","4_19",3838,1613,0,0.420270974465868,0,0,0
"11","14","4_19",7410,2247,1,0.303238866396761,0.000134952766531714,0,1
"12","16","4_19",5606,1688,0,0.301105957902248,0,0,0
"13","17","4_19",3916,1573,2,0.401685393258427,0.000510725229826353,0,1
"14","18","4_19",12824,4784,0,0.37305053025577,0,0,0
"15","19","4_19",2233,468,0,0.209583519928348,0,0,0
"16","20","4_19",8383,3698,0,0.441130860073959,0,0,0
"17","21","4_19",8546,3445,5,0.403112567282939,0.000585069038146501,0,1.06666666666667
"18","22","4_19",5221,1742,0,0.333652556981421,0,0,0
"19","23","4_19",16140,7441,5,0.461028500619579,0.000309789343246592,0,1.21666666666667
"20","24","4_19",3967,1864,0,0.469876480967986,0,0,0
"21","25","4_19",5677,1493,0,0.262991016381892,0,0,0
"22","26","4_19",7904,1292,2,0.163461538461538,0.000253036437246964,0,0.983333333333333
"23","27","4_19",4241,1538,1,0.362650318321151,0.000235793444942231,0,0
"24","28","4_19",4651,1051,3,0.225972909051817,0.000645022575790153,0,1
"25","29","4_19",3615,1235,0,0.341632088520055,0,0,0
"26","30","4_19",1365,398,0,0.291575091575092,0,0,0
"27","31","4_19",5389,2282,0,0.423455186491,0,0,0
"28","32","4_19",6865,1843,2,0.268463219227968,0.000291332847778587,0,0.566666666666667
"29","33","4_19",7428,2943,2,0.396203554119548,0.000269251480883145,0,0.566666666666667
"30","35","4_19",673,255,0,0.37890044576523,0,0,0
"31","37","4_19",4910,1674,2,0.340936863543788,0.000407331975560081,0,0.566666666666667
