"","route","day","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"1","1","4_11",1837,641,0,0.348938486663038,0,12.3333333333333,0
"2","2","4_11",2862,1161,3,0.405660377358491,0.0010482180293501,28.15,0.733333333333333
"3","3","4_11",3008,1486,0,0.494015957446808,0,13.2666666666667,0
"4","4","4_11",2540,1086,0,0.42755905511811,0,78.5333333333333,0
"5","5","4_11",1727,510,0,0.295309785755646,0,3.93333333333333,0
"6","6","4_11",1490,428,0,0.287248322147651,0,26.1333333333333,0
"7","7","4_11",3107,968,0,0.311554554232378,0,33.9666666666667,0
"8","8","4_11",269,55,0,0.204460966542751,0,2.9,0
"9","9","4_11",1690,512,0,0.302958579881657,0,23.3166666666667,0
"10","12","4_11",1366,458,0,0.335285505124451,0,10.65,0
"11","14","4_11",3319,984,0,0.296474841819825,0,72.9333333333333,0
"12","16","4_11",1736,753,1,0.433755760368664,0.000576036866359447,56.05,0
"13","17","4_11",3004,1252,0,0.416777629826897,0,63.8666666666667,0
"14","18","4_11",6928,3047,0,0.439809468822171,0,60.3666666666667,0
"15","19","4_11",962,261,0,0.271309771309771,0,4.06666666666667,0
"16","20","4_11",2355,898,14,0.381316348195329,0.0059447983014862,73.05,13.7666666666667
"17","21","4_11",2880,777,0,0.269791666666667,0,16.3,0
"18","22","4_11",2564,865,0,0.337363494539782,0,15.1,0
"19","23","4_11",6582,2845,1,0.432239440899423,0.000151929504709815,148.85,0.25
"20","24","4_11",1377,481,0,0.349310094408134,0,13.55,0
"21","25","4_11",2154,805,0,0.37372330547818,0,31.5,0
"22","26","4_11",3160,955,0,0.302215189873418,0,42.85,0
"23","27","4_11",2096,883,0,0.421278625954198,0,39.25,0
"24","28","4_11",1339,451,0,0.336818521284541,0,33.4,0
"25","29","4_11",1442,318,0,0.220527045769764,0,4.6,0
"26","30","4_11",857,160,0,0.186697782963827,0,5.03333333333333,0
"27","31","4_11",1481,511,2,0.345037137069548,0.00135043889264011,17.2,0.666666666666667
"28","32","4_11",2260,787,5,0.348230088495575,0.00221238938053097,27.4,0.65
"29","33","4_11",2989,895,0,0.299431247909,0,39.95,0
"30","35","4_11",158,142,1,0.89873417721519,0.00632911392405063,0,0
"31","37","4_11",2086,662,18,0.317353787152445,0.00862895493767977,34.1166666666667,23.8333333333333
"32","38","4_11",1119,526,0,0.470062555853441,0,32.4833333333333,0
"33","39","4_11",1286,239,0,0.185847589424572,0,6.6,0
"34","40","4_11",3039,1141,5,0.375452451464297,0.00164527805199079,31.0166666666667,1.4
"35","42","4_11",4038,1062,0,0.263001485884101,0,36.2666666666667,0
"36","43","4_11",1391,256,0,0.184040258806614,0,2.56666666666667,0
"37","44","4_11",1281,443,0,0.345823575331772,0,43.9333333333333,0
"38","45","4_11",2129,583,10,0.273837482386097,0.00469704086425552,2.8,1.8
"39","46","4_11",1546,597,0,0.386157826649418,0,12.3166666666667,0
"40","47","4_11",6117,1914,1,0.312898479646886,0.000163478829491581,134.133333333333,0.766666666666667
"41","47M","4_11",29,0,0,0,0,0,0
"42","48","4_11",2397,895,2,0.373383395911556,0.000834376303712975,26.55,1.03333333333333
"43","49","4_11",1347,480,0,0.356347438752784,0,63.6833333333333,0
"44","50","4_11",553,252,0,0.455696202531646,0,1.36666666666667,0
"45","52","4_11",3165,1066,0,0.336808846761453,0,55.8,0
"46","53","4_11",1202,316,0,0.262895174708819,0,6.7,0
"47","54","4_11",2111,893,0,0.423022264329702,0,25.9,0
"48","55","4_11",2878,561,2,0.194927032661571,0.000694927032661571,17.1833333333333,0.766666666666667
"49","56","4_11",4022,1914,1,0.475882645450025,0.000248632521133764,47.4333333333333,1
