"","route","day","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","4_17",4306,1319,11,0.30631676730144,0.0025545750116117,2.6,2.83333333333333
"3","3","4_17",5103,2319,0,0.454438565549677,0,0,0
"4","4","4_17",5770,1247,1,0.216117850953206,0.000173310225303293,0,0
"5","5","4_17",3302,1140,0,0.345245305875227,0,0,0
"6","6","4_17",1493,672,20,0.450100468854655,0.0133958472873409,0,20
"7","7","4_17",6175,2868,22,0.464453441295547,0.00356275303643725,0,10.3333333333333
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","9","4_17",737,207,0,0.280868385345997,0,0,0
"10","12","4_17",1637,322,14,0.196701282834453,0.00855222968845449,13.1333333333333,4.66666666666667
"11","14","4_17",5319,1116,13,0.209813874788494,0.00244406843391615,97.05,12.6
"12","16","4_17",4260,1474,16,0.346009389671362,0.00375586854460094,30.95,6.78333333333333
"13","17","4_17",3043,942,0,0.309562931317779,0,36.3166666666667,0
"14","18","4_17",8907,2488,2,0.279330863365892,0.000224542494667116,26.1166666666667,0.333333333333333
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","20","4_17",5289,1682,14,0.3180185290225,0.00264700321421819,119.483333333333,13.7666666666667
"17","21","4_17",5514,1722,9,0.312295973884657,0.00163220892274211,0,2.4
"18","22","4_17",3822,1093,0,0.285975928833072,0,0,0
"19","23","4_17",7704,2130,19,0.276479750778816,0.002466251298027,0,5.41666666666667
"20","24","4_17",2116,294,10,0.138941398865784,0.00472589792060491,0,2.5
"21","25","4_17",4954,2182,0,0.440452159870811,0,0,0
"22","26","4_17",4112,897,0,0.218142023346304,0,0,0
"23","27","4_17",1866,554,0,0.296891747052519,0,0,0
"24","28","4_17",1333,579,2,0.434358589647412,0.00150037509377344,0,0.8
"25","29","4_17",2175,767,4,0.35264367816092,0.00183908045977011,0,0.933333333333333
"26","30","4_17",1845,561,0,0.304065040650407,0,0,0
"27","31","4_17",3089,893,0,0.289090320492069,0,0,0
"28","32","4_17",2869,830,0,0.289299407459045,0,0,0
"29","33","4_17",6014,1407,12,0.233954107083472,0.00199534419687396,0,7
"30","35","4_17",397,100,0,0.251889168765743,0,0,0
"31","37","4_17",3336,827,1,0.247901678657074,0.000299760191846523,0,0
"32","38","4_17",2630,951,13,0.361596958174905,0.00494296577946768,0,4.8
"33","39","4_17",2767,782,0,0.282616552222624,0,0,0
"34","40","4_17",4153,2163,3,0.520828316879364,0.000722369371538647,0,0.6
"35","42","4_17",6667,1646,0,0.246887655617219,0,0,0
"36","43","4_17",2387,197,0,0.0825303728529535,0,0,0
"37","44","4_17",1619,708,0,0.437306979617048,0,0,0
"38","45","4_17",3650,1366,0,0.374246575342466,0,0,0
"39","46","4_17",1853,304,0,0.164058283864004,0,0,0
"40","47","4_17",9320,2335,5,0.250536480686695,0.000536480686695279,0,3.76666666666667
"41","47M","4_17",600,119,0,0.198333333333333,0,0,0
"42","48","4_17",5071,1580,0,0.311575626109249,0,0,0
"43","49","4_17",3687,1353,0,0.366965012205045,0,0,0
"44","50","4_17",2706,768,3,0.283813747228381,0.00110864745011086,0,1.75
"45","52","4_17",4704,1849,13,0.393069727891156,0.00276360544217687,0,26
"46","53","4_17",2894,497,0,0.171734623358673,0,0,0
"47","54","4_17",3121,1319,1,0.422620954822172,0.000320410124959949,0,0.45
"48","55","4_17",4679,1324,5,0.282966445821757,0.00106860440265014,0,1.6
"49","56","4_17",4456,1751,10,0.392953321364452,0.00224416517055655,0,8.36666666666667
"50","57","4_17",7811,2077,6,0.265907054154398,0.000768147484316989,0,1.9
"51","58","4_17",6281,2071,0,0.329724566151887,0,0,0
"52","59","4_17",1518,188,0,0.123847167325428,0,0,0
"53","60","4_17",2871,1017,24,0.35423197492163,0.00835945663531871,0,10.1
"54","61","4_17",3137,1170,14,0.372967803634045,0.00446286260758687,0,7
