"","route","day","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","64","4_17",3640,1236,7,0.33956043956044,0.00192307692307692,0,1.4
"57","65","4_17",3826,1072,55,0.280188186095139,0.0143753267119707,0,17.3666666666667
"58","66","4_17",3646,1349,0,0.369994514536478,0,0,0
"59","67","4_17",3579,936,1,0.261525565800503,0.000279407655769768,0,0
"60","68","4_17",546,355,0,0.65018315018315,0,0,0
"61","70","4_17",4279,654,3,0.152839448469269,0.000701098387473709,0,0.4
"62","73","4_17",1640,318,0,0.19390243902439,0,0,0
"63","75","4_17",2221,626,14,0.281855020261144,0.00630346690679874,0,5.2
"64","77","4_17",1635,733,0,0.448318042813456,0,0,0
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","79","4_17",1674,295,0,0.176224611708483,0,0,0
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","84","4_17",2532,1203,0,0.475118483412322,0,0,0
"69","88","4_17",1975,300,0,0.151898734177215,0,0,0
"70","89","4_17",2518,830,0,0.329626687847498,0,0,0
"71","BLVDDIR","4_17",756,232,25,0.306878306878307,0.0330687830687831,0,8.75
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","G","4_17",5937,1263,39,0.212733703890854,0.00656897422940879,0,22.75
"74","H","4_17",4757,1126,20,0.236703804919067,0.00420433046037419,0,7.91666666666667
"75","J","4_17",1902,527,0,0.277076761303891,0,0,0
"76","K","4_17",4994,1179,0,0.236083299959952,0,0,0
"77","L","4_17",4610,1390,0,0.301518438177874,0,0,0
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","R","4_17",4152,1288,0,0.310211946050096,0,0,0
"80","XH","4_17",4069,1089,0,0.267633325141312,0,0,0
"81","10","4_17",2659,703,0,0.264385107183152,0,0,0
"82","15","4_17",5984,2506,7,0.418783422459893,0.00116978609625668,0,3.5
"83","204","4_17",251,50,0,0.199203187250996,0,4.33333333333333,0
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","11","4_17",1919,1299,21,0.676915059927045,0.0109431995831162,0,0
"90","13","4_17",2260,685,16,0.303097345132743,0.00707964601769911,0,0
"91","34","4_17",1532,581,21,0.379242819843342,0.0137075718015666,0,0
"92","36","4_17",2995,1189,8,0.396994991652755,0.00267111853088481,0,0
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","93","4_17",1777,637,0,0.35846933033202,0,3.7,0
"98","94","4_17",301,77,0,0.255813953488372,0,3.66666666666667,0
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","96","4_17",735,175,6,0.238095238095238,0.00816326530612245,5.46666666666667,3.9
"101","97","4_17",1508,805,0,0.533819628647215,0,24.85,0
"102","98","4_17",408,131,2,0.321078431372549,0.00490196078431373,0.25,0.25
"103","99","4_17",1400,425,1,0.303571428571429,0.000714285714285714,5,0.5
"104","124","4_17",1182,398,11,0.336717428087986,0.00930626057529611,7.55,5.98333333333333
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","129","4_17",1220,274,0,0.224590163934426,0,50.0166666666667,0
"108","130","4_17",187,4,9,0.0213903743315508,0.0481283422459893,0,8.7
"109","131","4_17",554,129,2,0.232851985559567,0.0036101083032491,2.8,1.4
"110","132","4_17",335,97,0,0.28955223880597,0,1.83333333333333,0
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","135","4_17",1048,208,0,0.198473282442748,0,27.5,0
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","101","4_17",879,244,0,0.277588168373151,0,3.35,0
"118","102","4_17",885,240,3,0.271186440677966,0.00338983050847458,8.35,0.7
"119","103","4_17",53,0,0,0,0,0,0
"120","104","4_17",3760,1515,0,0.402925531914894,0,128.283333333333,0
"121","105","4_17",116,26,0,0.224137931034483,0,0,0
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","108","4_17",4545,730,2,0.160616061606161,0.00044004400440044,15.7666666666667,0.716666666666667
"125","109","4_17",2011,384,93,0.190949776230731,0.0462456489308802,28.5,114.3
"126","110","4_17",1701,409,0,0.240446796002352,0,22.8,0
"127","111","4_17",1658,130,0,0.0784077201447527,0,0,0
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","113","4_17",4655,633,18,0.135982814178303,0.00386680988184748,16.8166666666667,7.56666666666667
"130","114","4_17",2553,527,0,0.206423815119467,0,14.85,0
"131","115","4_17",1180,368,0,0.311864406779661,0,67.2,0
"132","117","4_17",1767,423,0,0.239388794567063,0,16.1,0
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","119","4_17",1562,171,0,0.109475032010243,0,0,0
"135","120","4_17",486,76,0,0.156378600823045,0,0,0
"136","123","4_17",1030,87,0,0.0844660194174757,0,0,0
"137","125","4_17",1289,123,0,0.095422808378588,0,3.53333333333333,0
"138","126","4_17",637,29,0,0.0455259026687598,0,0,0
