[814264],['101'],"['108', '108']","['18601', '15349']","['1', '1']","['1', '1']","[1649649024, 1649649073]",[],[]
[814290],['101'],"['108', '108', '108', '108']","['1948', '18615', '18616', '18617']","['0', '0', '0', '0']","['0', '0', '0', '0']","[1649650613, 1649650672, 1649650701, 1649650714]",[],[]
[814880],['102'],['0'],['null'],['999'],['999'],[1649650714],[1],[]
[815738],['104'],['0'],['null'],['998'],['998'],[1649650714],[],[]
[815769],['104'],"['3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065', '3065']","['18793', '18798', '18801', '1996', '18805', '2200', '18809', '1998', '18814', '18816', '18818', '18820', '18821', '18824', '18828', '1148', 'null']","['-2', '-2', '-1', '-1', '-1', '-3', '-2', '-3', '-3', '-3', '-3', '-3', '-3', '-3', '-3', '-3', '-3']","['-2', '-2', '-1', '-1', '-1', '-3', '-2', '-3', '-3', '-3', '-3', '-3', '-3', '-3', '-3', '-3', '-3']","[1649649063, 1649649113, 1649649192, 1649649242, 1649649294, 1649649431, 1649649481, 1649649541, 1649649612, 1649649662, 1649649712, 1649649732, 1649649792, 1649649842, 1649649902, 1649650063, 1649650714]",[],[1]
[817439],['108'],"['3460', '3460', '3460', '3460', '3460', '3460', '3460', '3460', '3460', '3460']","['990', '32114', '32115', '32260', '617', '19551', '19675', '17103', '1160', 'null']","['0', '0', '0', '1', '1', '1', '1', '-4', '-4', '-4']","['0', '0', '0', '1', '1', '1', '1', '-4', '-4', '-4']","[1649649042, 1649649084, 1649649104, 1649649143, 1649649192, 1649649203, 1649649274, 1649649662, 1649649763, 1649650574]",[],[1]
[817440],['108'],"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['1148', '19613', '19614', '19615', '1149', '22184', '19618', '19619', '19620', '19621', '19623', '19624', '19625', '1150', '19626', '19628', '19629', '19630', '19632', '19633', '19634', '1151', '16998', '19636', '19637', '19638', '1152', '19639', '19640', '19641', '1153', '19642', '19643', '1154', '19646', '19647', '19648', '19649', '19650', '19651', '19652', '19653', '19654', '19655', '1156', '19656', '19657', '19658', '19660', '19661', '19662', '19663', '1157', '19665', '19667', '19668', '19669']","['998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998']","['998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998', '998']","[1649649114, 1649649143, 1649649192, 1649649203, 1649649223, 1649649274, 1649649334, 1649649362, 1649649391, 1649649422, 1649649461, 1649649471, 1649649491, 1649649541, 1649649581, 1649649612, 1649649622, 1649649642, 1649649662, 1649649672, 1649649692, 1649649744, 1649649853, 1649649871, 1649649902, 1649649921, 1649649944, 1649649971, 1649650001, 1649650011, 1649650022, 1649650082, 1649650102, 1649650112, 1649650133, 1649650172, 1649650192, 1649650222, 1649650252, 1649650272, 1649650303, 1649650321, 1649650341, 1649650384, 1649650411, 1649650472, 1649650484, 1649650512, 1649650523, 1649650562, 1649650582, 1649650612, 1649650613, 1649650672, 1649650701, 1649650704, 1649650714]",[],[]
[817459],['108'],"['3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464', '3464']","['1144', '19591', '19593', '19595', '19596', '19597', '19598', '15002', '19600', '19601', '19603', '19604', '19605', '19606', '19607', '19608', '22106', '1146', '19610', '29816', '19612']","['6', '6', '6', '6', '6', '6', '6', '6', '6', '5', '5', '5', '4', '5', '5', '5', '5', '5', '5', '6', '6']","['6', '6', '6', '6', '6', '6', '6', '6', '6', '5', '5', '5', '4', '5', '5', '5', '5', '5', '5', '6', '6']","[1649649073, 1649649113, 1649649132, 1649649163, 1649649203, 1649649223, 1649649242, 1649649274, 1649649334, 1649649381, 1649649402, 1649649431, 1649649443, 1649649481, 1649649503, 1649649521, 1649649541, 1649649581, 1649649591, 1649649642, 1649649674]",[],[]
[817460],['108'],['0'],['null'],['999'],['999'],[1649650714],[1],[]
[817461],['108'],"['3460', '3460']","['1160', '19549']","['0', '0']","['0', '0']","[1649650652, 1649650714]",[],[]
