"","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"4-11",219212,72939,101,0.332732697115121,0.000460741200299254,2681.65,64.5
"4-12",332532,98911,703,0.297448065148617,0.00211408225373799,3239.98333333333,416.8
"4-17",318979,94656,651,0.296746807783584,0.0020408867041404,788.166666666667,368
"4-18",212892,70611,248,0.331675215602277,0.00116490990737087,2622.8,96.7166666666667
"4-19",542833,170185,425,0.313512627272108,0.000782929556603965,788.233333333333,246.283333333333
"Total",292252.333193438,432146.299562147,414286.298787694,1.47867527639588,1.41756370004233,1138687.82778226,1138687.82778226
