"","route","day","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"1","1","4_12",1535,463,0,0.301628664495114,0,9.06666666666667,0
"2","2","4_12",3759,1582,3,0.420856610800745,0.000798084596967279,29,0.7
"3","3","4_12",4429,1214,1,0.274102506209077,0.000225784601490178,24.3666666666667,0.433333333333333
"4","4","4_12",4299,1859,0,0.432426145615259,0,86.7166666666667,0
"5","5","4_12",3148,637,0,0.202350698856417,0,1.83333333333333,0
"6","6","4_12",2160,331,0,0.153240740740741,0,0,0
"7","7","4_12",4609,671,0,0.145584725536993,0,50.1833333333333,0
"8","8","4_12",415,125,0,0.301204819277108,0,13.6833333333333,0
"9","9","4_12",1949,712,0,0.365315546434069,0,24.1833333333333,0
"10","12","4_12",2165,610,0,0.28175519630485,0,1.2,0
"11","14","4_12",4073,1018,0,0.249938620181684,0,80.4666666666667,0
"12","16","4_12",3452,1176,0,0.340672074159907,0,66.8,0
"13","17","4_12",3497,1282,11,0.366599942808121,0.00314555333142694,31.3833333333333,4.5
"14","18","4_12",9261,3283,0,0.354497354497354,0,91.4666666666667,0
"15","19","4_12",1497,287,0,0.191716766867067,0,0,0
"16","20","4_12",4805,1521,0,0.316545265348595,0,99.7333333333333,0
"17","21","4_12",5190,1504,0,0.289788053949904,0,51.65,0
"18","22","4_12",3527,1293,0,0.366600510348738,0,22.9166666666667,0
"19","23","4_12",9460,3500,5,0.369978858350951,0.000528541226215645,56.05,1.2
"20","24","4_12",1980,868,0,0.438383838383838,0,0,0
"21","25","4_12",4461,1100,0,0.246581483972204,0,63.25,0
"22","26","4_12",5140,1335,0,0.259727626459144,0,37.85,0
"23","27","4_12",3248,881,0,0.271243842364532,0,22.3166666666667,0
"24","28","4_12",2775,847,0,0.305225225225225,0,12.7,0
"25","29","4_12",2201,858,0,0.38982280781463,0,14.6833333333333,0
"26","30","4_12",1296,438,0,0.337962962962963,0,4.5,0
"27","31","4_12",2953,1015,5,0.34371825262445,0.00169319336268202,14.9666666666667,0.833333333333333
"28","32","4_12",3910,546,1,0.139641943734015,0.000255754475703325,5.28333333333333,0.283333333333333
"29","33","4_12",4243,1371,10,0.323120433655432,0.00235682300259251,0,4.16666666666667
"30","35","4_12",302,121,0,0.400662251655629,0,0,0
"31","37","4_12",2693,1084,0,0.40252506498329,0,91.4,0
"32","38","4_12",2392,1049,0,0.438545150501672,0,75.9,0
"33","39","4_12",2227,135,0,0.060619667714414,0,0.416666666666667,0
"34","40","4_12",4850,1266,0,0.261030927835052,0,68.6166666666667,0
"35","42","4_12",5075,1046,0,0.206108374384236,0,46.1833333333333,0
"36","43","4_12",1610,491,0,0.304968944099379,0,19.3166666666667,0
"37","44","4_12",2469,806,0,0.326447954637505,0,58.2166666666667,0
"38","45","4_12",3201,663,0,0.207122774133083,0,5.26666666666667,0
"39","46","4_12",1796,603,0,0.335746102449889,0,12.4666666666667,0
"40","47","4_12",9487,2671,0,0.281543164330136,0,159.966666666667,0
"41","47M","4_12",507,80,0,0.157790927021696,0,4.4,0
"42","48","4_12",4939,1902,1,0.385098198015793,0.000202470135654991,137.95,0.533333333333333
"43","49","4_12",2434,766,0,0.314708299096138,0,23.6333333333333,0
"44","50","4_12",1578,395,0,0.250316856780735,0,1.76666666666667,0
"45","52","4_12",4300,757,0,0.176046511627907,0,20,0
"46","53","4_12",1992,285,0,0.143072289156627,0,0,0
"47","54","4_12",2656,1248,20,0.469879518072289,0.00753012048192771,100.9,7.98333333333333
"48","55","4_12",4687,927,0,0.197781096650309,0,11.1166666666667,0
"49","56","4_12",5195,2040,0,0.392685274302214,0,51.15,0
"50","57","4_12",6669,2303,3,0.345329134802819,0.000449842555105713,57.7333333333333,1.05
"51","58","4_12",7029,2365,0,0.336463223787167,0,69.5666666666667,0
"52","59","4_12",1933,535,0,0.276771857216762,0,32.9333333333333,0
"53","60","4_12",3020,1177,10,0.389735099337748,0.0033112582781457,45.3333333333333,5
"54","61","4_12",3423,779,0,0.227578147823547,0,17.5333333333333,0
"55","62","4_12",112,83,1,0.741071428571429,0.00892857142857143,26.65,0
"56","64","4_12",4386,1318,0,0.300501595987232,0,15.2833333333333,0
"57","65","4_12",5173,1278,0,0.247052000773246,0,12.6166666666667,0
"58","66","4_12",4502,1212,0,0.269213682807641,0,50.0166666666667,0
"59","67","4_12",4188,1047,0,0.25,0,49.2833333333333,0
"60","68","4_12",1543,475,0,0.307841866493843,0,59.4,0
"61","70","4_12",3892,1269,8,0.326053442959918,0.00205549845837616,11.3,2
"62","73","4_12",1633,310,0,0.189834660134721,0,33.3166666666667,0
"63","75","4_12",1230,270,3,0.219512195121951,0.0024390243902439,4.78333333333333,1.25
"64","77","4_12",824,363,0,0.440533980582524,0,5.43333333333333,0
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","79","4_12",2304,506,0,0.219618055555556,0,0,0
"67","80","4_12",87,23,0,0.264367816091954,0,0,0
"68","84","4_12",3516,844,0,0.24004550625711,0,5.81666666666667,0
"69","88","4_12",2016,437,0,0.216765873015873,0,10.25,0
"70","89","4_12",2613,801,0,0.30654420206659,0,65.4166666666667,0
"71","BLVDDIR","4_12",800,167,0,0.20875,0,6.31666666666667,0
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","G","4_12",8534,1639,19,0.192055308179049,0.00222638856339348,42.0166666666667,5.98333333333333
"74","H","4_12",3766,1288,39,0.342007434944238,0.0103558151885289,0.75,15.6
"75","J","4_12",2997,1206,0,0.402402402402402,0,40.2333333333333,0
"76","K","4_12",6491,3007,0,0.463256817131413,0,57.0166666666667,0
"77","L","4_12",4524,980,0,0.216622458001768,0,21.8666666666667,0
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","R","4_12",4480,1844,0,0.411607142857143,0,168.333333333333,0
"80","XH","4_12",3223,1705,14,0.52901023890785,0.00434377908780639,62.8833333333333,3.03333333333333
"81","10","4_12",3388,1385,6,0.408795749704841,0.00177095631641086,1.26666666666667,2
"82","15","4_12",4832,1715,7,0.354925496688742,0.00144867549668874,0,3.5
"83","204","4_12",655,85,0,0.129770992366412,0,0,0
"84","310","4_12",155,41,0,0.264516129032258,0,17.45,0
"85","311","4_12",168,114,0,0.678571428571429,0,49.1666666666667,0
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","LUCYGO","4_12",159,7,0,0.0440251572327044,0,0,0
"88","LUCYGR","4_12",297,26,0,0.0875420875420875,0,0,0
"89","11","4_12",3090,2365,0,0.76537216828479,0,0,0
"90","13","4_12",3278,809,0,0.24679682733374,0,0,0
"91","34","4_12",2201,610,0,0.277146751476602,0,0,0
"92","36","4_12",3129,889,0,0.284116331096197,0,0,0
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","90","4_12",774,334,1,0.431524547803618,0.00129198966408269,2.7,0.2
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","92","4_12",680,38,0,0.0558823529411765,0,0,0
"97","93","4_12",1377,219,0,0.159041394335512,0,1.83333333333333,0
"98","94","4_12",601,47,0,0.0782029950083195,0,0.866666666666667,0
"99","95","4_12",662,250,0,0.377643504531722,0,15.25,0
"100","96","4_12",1333,327,0,0.245311327831958,0,13.5666666666667,0
"101","97","4_12",721,93,0,0.128987517337032,0,4.08333333333333,0
"102","98","4_12",915,139,0,0.151912568306011,0,1.68333333333333,0
"103","99","4_12",1583,653,0,0.412507896399242,0,3.51666666666667,0
"104","124","4_12",1223,275,0,0.224856909239575,0,0,0
"105","127","4_12",737,160,0,0.217096336499322,0,2.9,0
"106","128","4_12",718,146,0,0.203342618384401,0,24.7,0
"107","129","4_12",1682,373,100,0.221759809750297,0.0594530321046373,1.13333333333333,61.6666666666667
"108","130","4_12",1234,63,171,0.0510534846029173,0.138573743922204,4.2,161.3
"109","131","4_12",443,192,0,0.433408577878104,0,22.8,0
"110","132","4_12",619,90,0,0.145395799676898,0,0,0
"111","133","4_12",103,23,0,0.223300970873786,0,1.1,0
"112","135","4_12",495,0,0,0,0,0,0
"113","139","4_12",835,260,0,0.311377245508982,0,2.56666666666667,0
"114","150","4_12",37,1,0,0.027027027027027,0,0,0
"115","201","4_12",112,8,0,0.0714285714285714,0,0,0
"116","206","4_12",193,76,0,0.393782383419689,0,1.23333333333333,0
"117","101","4_12",1212,122,6,0.100660066006601,0.00495049504950495,0,5.2
"118","102","4_12",696,187,9,0.26867816091954,0.0129310344827586,0,5.91666666666667
"119","103","4_12",1059,223,0,0.210576015108593,0,0.416666666666667,0
"120","104","4_12",2854,1170,1,0.409950946040645,0.000350385423966363,29.9166666666667,0
"121","105","4_12",969,161,0,0.166150670794634,0,0,0
"122","106","4_12",882,153,0,0.173469387755102,0,5.76666666666667,0
"123","107","4_12",1318,344,0,0.261001517450683,0,16.1166666666667,0
"124","108","4_12",3041,752,7,0.247287076619533,0.0023018743834265,28.7166666666667,5.01666666666667
"125","109","4_12",2226,592,9,0.265947888589398,0.00404312668463612,4.7,13.5
"126","110","4_12",1215,345,3,0.283950617283951,0.00246913580246914,33.6666666666667,1.4
"127","111","4_12",941,385,1,0.40913921360255,0.00106269925611052,34.4166666666667,0.5
"128","112","4_12",592,248,0,0.418918918918919,0,17.15,0
"129","113","4_12",4234,775,209,0.183042040623524,0.0493623051487955,15.5833333333333,90.35
"130","114","4_12",2305,246,0,0.106724511930586,0,13.95,0
"131","115","4_12",1726,581,0,0.336616454229432,0,51.5333333333333,0
"132","117","4_12",1258,430,0,0.34181240063593,0,5.63333333333333,0
"133","118","4_12",284,4,10,0.0140845070422535,0.0352112676056338,0,5.41666666666667
"134","119","4_12",183,10,0,0.0546448087431694,0,0,0
"135","120","4_12",490,142,0,0.289795918367347,0,22.0333333333333,0
"136","123","4_12",570,41,0,0.0719298245614035,0,0,0
"137","125","4_12",840,220,9,0.261904761904762,0.0107142857142857,8.03333333333333,6.28333333333333
"138","126","4_12",473,74,0,0.156448202959831,0,3.33333333333333,0
