"","route","day","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"74","H","4_18",1808,840,0,0.464601769911504,0,1.75,0
"75","J","4_18",1545,165,0,0.106796116504854,0,0.416666666666667,0
"76","K","4_18",3116,961,31,0.308408215661104,0.00994865211810013,13.2833333333333,5.96666666666667
"77","L","4_18",3520,799,0,0.226988636363636,0,5.86666666666667,0
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","R","4_18",3921,1555,0,0.396582504463147,0,64.25,0
"80","XH","4_18",1534,718,0,0.468057366362451,0,64.6166666666667,0
"81","10","4_18",1466,478,13,0.326057298772169,0.00886766712141883,23.3166666666667,3.96666666666667
"82","15","4_18",3574,1158,0,0.324006715165081,0,109.383333333333,0
"83","204","4_18",232,28,0,0.120689655172414,0,0,0
"84","310","4_18",224,57,0,0.254464285714286,0,13.9333333333333,0
"85","311","4_18",226,70,0,0.309734513274336,0,4.58333333333333,0
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","LUCYGO","4_18",254,42,0,0.165354330708661,0,9,0
"88","LUCYGR","4_18",78,13,0,0.166666666666667,0,0,0
"89","11","4_18",1306,838,12,0.641653905053599,0.00918836140888208,0,0
"90","13","4_18",2206,709,8,0.321396192203083,0.00362647325475975,0,0
"91","34","4_18",894,215,0,0.240492170022371,0,0,0
"92","36","4_18",2580,956,4,0.370542635658915,0.00155038759689922,0,0
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","90","4_18",335,116,0,0.346268656716418,0,3.95,0
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","92","4_18",350,59,0,0.168571428571429,0,0,0
"97","93","4_18",805,231,0,0.28695652173913,0,13,0
"98","94","4_18",270,101,0,0.374074074074074,0,0,0
"99","95","4_18",278,48,0,0.172661870503597,0,0,0
"100","96","4_18",793,267,0,0.336696090794451,0,11.8166666666667,0
"101","97","4_18",472,135,0,0.286016949152542,0,6.75,0
"102","98","4_18",463,124,0,0.267818574514039,0,1.58333333333333,0
"103","99","4_18",777,122,0,0.157014157014157,0,1.4,0
"104","124","4_18",364,72,7,0.197802197802198,0.0192307692307692,3.55,7
"105","127","4_18",339,0,0,0,0,0,0
"106","128","4_18",306,33,0,0.107843137254902,0,0.183333333333333,0
"107","129","4_18",480,79,0,0.164583333333333,0,0,0
"108","130","4_18",248,60,0,0.241935483870968,0,25.6666666666667,0
"109","131","4_18",449,109,1,0.242761692650334,0.0022271714922049,0,0
"110","132","4_18",353,93,0,0.263456090651558,0,0,0
"111","133","4_18",46,0,0,0,0,0,0
"112","135","4_18",336,76,0,0.226190476190476,0,0,0
"113","139","4_18",263,50,3,0.190114068441065,0.0114068441064639,0,2.65
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","201","4_18",9,0,0,0,0,0,0
"116","206","4_18",102,50,0,0.490196078431373,0,0,0
"117","101","4_18",691,136,0,0.196816208393632,0,6.91666666666667,0
"118","102","4_18",490,138,0,0.281632653061224,0,0.683333333333333,0
"119","103","4_18",624,66,0,0.105769230769231,0,0,0
"120","104","4_18",2584,805,0,0.311532507739938,0,114.433333333333,0
"121","105","4_18",310,33,0,0.106451612903226,0,0,0
"122","106","4_18",684,197,0,0.288011695906433,0,20.7,0
"123","107","4_18",596,251,0,0.421140939597315,0,11.9833333333333,0
"124","108","4_18",2251,565,6,0.250999555752999,0.00266548200799645,15.5,3.58333333333333
"125","109","4_18",1958,387,1,0.197650663942799,0.000510725229826353,6,1.5
"126","110","4_18",515,87,0,0.168932038834951,0,2.71666666666667,0
"127","111","4_18",636,196,0,0.308176100628931,0,10.85,0
"128","112","4_18",371,199,0,0.536388140161725,0,26.1833333333333,0
"129","113","4_18",3536,551,2,0.155825791855204,0.000565610859728507,7.76666666666667,0.6
"130","114","4_18",1421,317,0,0.223082336382829,0,3.75,0
"131","115","4_18",1339,360,0,0.268857356235997,0,48,0
"132","117","4_18",966,231,0,0.239130434782609,0,0.166666666666667,0
"133","118","4_18",518,141,0,0.272200772200772,0,3.33333333333333,0
"134","119","4_18",697,241,0,0.345767575322812,0,52.8166666666667,0
"135","120","4_18",212,46,0,0.216981132075472,0,0,0
"136","123","4_18",144,0,0,0,0,0,0
"137","125","4_18",518,171,0,0.33011583011583,0,12.3,0
"138","126","4_18",434,72,0,0.165898617511521,0,0.9,0
