817703,109,0,null,999,1649968852,1:30:00
828817,99,0,null,999,1649968853,0:30:00
835292,23,8280,null,999,1649968852,0:15:00
836356,25,0,null,999,1649968852,0:29:00
847073,47,0,null,999,1649968853,0:46:00
847075,47,8037,null,999,1649968853,0:46:00
849706,50,0,null,999,1649968851,0:35:00
853357,57,0,null,999,1649968853,0:21:00
853361,57,3237,null,999,1649968852,0:21:00
853935,58,0,null,999,1649968851,0:20:00
859804,68,0,null,999,1649968853,2:00:00
862575,84,0,null,999,1649968851,0:19:00
863818,BLVDDIR,0,8,999,1649968772,0:21:00
863818,BLVDDIR,0,null,999,1649968851,0:21:00
867273,R,0,null,999,1649968852,0:30:00
870735,10,0,null,999,1649968853,0:20:00
870886,10,0,null,999,1649968853,0:20:00
870895,10,0,null,999,1649968853,0:20:00
872533,15,0,null,999,1649968853,0:30:00
