[814998],['103'],"['3274', '3274', '3274', '3274', '3274', '3274', '3274', '3274', '3274']","['18871', '18872', '18873', '18879', '18874', '19321', '18875', '18877', '30684']","['1', '0', '0', '1', '1', '1', '1', '1', '2']","['1', '0', '0', '0', '0', '0', '1', '2', '2']","[1649968630, 1649968635, 1649968694, 1649968734, 1649968753, 1649968792, 1649968832, 1649968842, 1649968852]",[],[]
[815036],['103'],"['3464', '3464', '3464', '3464']","['31555', '18897', '1976', '18898']","['0', '0', '1', '2']","['0', '0', '0', '2']","[1649968694, 1649968724, 1649968809, 1649968852]",[],[]
[815037],['103'],['8357'],['null'],['1'],['1'],[1649968852],[],[]
[815324],['104'],"['8514', '8514', '8514', '8514', '8514']","['18725', '18726', '18727', '18728', '18729']","['-4', '-3', '-3', '-3', '-3']","['-4', '-3', '-3', '-4', '-4']","[1649968694, 1649968734, 1649968809, 1649968816, 1649968852]",[],[1]
[815325],['104'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[815326],['104'],"['3261', '3261', '3261', '3261', '3261', '3261']","['18660', '18661', '18662', '18663', '2199', '18664']","['-1', '-1', '-1', '-1', '-3', '-3']","['-1', '-1', '-1', '-1', '-3', '-3']","[1649968675, 1649968690, 1649968725, 1649968733, 1649968793, 1649968852]",[],[1]
[815327],['104'],"['8348', '8348', '8348', '8348']","['18639', '18640', '18641', '18642']","['2', '3', '3', '3']","['1', '3', '3', '3']","[1649968793, 1649968832, 1649968835, 1649968852]",[],[]
[815388],['104'],['3470'],['null'],['0'],['0'],[1649968852],[],[]
[815389],['104'],"['3474', '3474', '3474', '3474', '3474', '3474', '3474']","['30480', '18815', '18816', '18817', '2202', '18818', '18819']","['-5', '-5', '-5', '-5', '-5', '-5', '-5']","['-5', '-5', '-5', '-5', '-5', '-4', '-4']","[1649968694, 1649968705, 1649968705, 1649968735, 1649968810, 1649968816, 1649968852]",[],[1]
[815390],['104'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[815391],['104'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[815392],['104'],"['8201', '8201', '8201', '8201', '8201', '8201', '8201', '8201', '8201', '8201', '8201']","['18762', '18763', '18764', '18765', '18766', '18767', '18768', '18769', '29720', '29721', '18770']","['0', '0', '0', '0', '-1', '-1', '0', '-1', '-1', '-1', '0']","['0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '0']","[1649968663, 1649968675, 1649968690, 1649968690, 1649968694, 1649968705, 1649968733, 1649968792, 1649968832, 1649968842, 1649968852]",[],[1]
[815431],['104'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[816052],['105'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[816081],['105'],"['8203', '8203', '8203', '8203', '8203', '8203']","['19444', '19445', '18887', '18888', '18889', '19446']","['1', '1', '1', '1', '2', '2']","['0', '0', '0', '0', '2', '2']","[1649968645, 1649968663, 1649968694, 1649968724, 1649968842, 1649968852]",[],[]
[816084],['105'],"['8366', '8366']","['2024', 'null']","['0', '0']","['1', '0']","[1649968734, 1649968852]",[],[]
[816385],['106'],"['8204', '8204', '8204', '8204', '8204', '8204', '8204']","['19352', '19353', '19354', '19355', '19356', '19357', '2009']","['0', '0', '-1', '-1', '0', '-1', '0']","['0', '0', '0', '0', '0', '0', '0']","[1649968690, 1649968724, 1649968734, 1649968792, 1649968832, 1649968842, 1649968852]",[],[1]
[816388],['106'],"['8360', '8360', '8360', '8360', '8360', '8360', '8360', '8360', '8360', '8360']","['19503', '19504', '19505', '19506', '19507', '30702', '19508', '19509', '19511', '19512']","['-1', '-1', '-2', '-2', '-2', '-2', '-2', '-2', '-1', '-1']","['-1', '-1', '-2', '-2', '-2', '-2', '-2', '-2', '-1', '-1']","[1649968645, 1649968675, 1649968724, 1649968733, 1649968733, 1649968734, 1649968785, 1649968792, 1649968832, 1649968852]",[],[1]
[816389],['106'],['3270'],['2024'],['0'],['0'],[1649968852],[],[]
[816397],['106'],['3265'],['null'],['-3'],['-3'],[1649968852],[],[1]
[816410],['106'],['3084'],['null'],['-10'],['-10'],[1649968852],[],[]
[816416],['106'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[816585],['107'],"['0', '0']","['19613', '19614']","['0', '0']","['998', '998']","[1649968832, 1649968852]",[],[]
[816589],['107'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[816593],['107'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[816609],['107'],['0'],['null'],['998'],['998'],[1649968852],[],[]
[816611],['107'],['8202'],['null'],['1'],['1'],[1649968852],[],[]
[816848],['108'],"['8340', '8340']","['19676', '2501']","['0', '0']","['-1', '0']","[1649968792, 1649968852]",[],[1]
[816849],['108'],"['0', '0', '0', '0', '0', '0', '0', '0']","['19613', '19614', '30515', '19615', '1149', '22184', '19617', '19618']","['0', '0', '0', '0', '2', '1', '1', '2']","['998', '998', '998', '998', '998', '998', '998', '998']","[1649968645, 1649968694, 1649968785, 1649968809, 1649968832, 1649968835, 1649968835, 1649968852]",[],[]
