['649273'],['15'],"['8074', '8074', '8074', '8074', '8074', '8074', '8074']","['341', '12196', '17785', '32301', '31540', '24038', '20993']","['0', '8', '7', '5', '4', '2', '2']","['0', '8', '6', '5', '0', '2', '2']","['1644376633', '1644377115', '1644377354', '1644377475', '1644377592', '1644377714', '1644377834']",[]
['649274'],['15'],"['8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154', '8154']","['12196', '30799', '17785', '17788', '20988', '24039', '481', '20993', '20996', '21001', '343', '21005', '21008', '30791', '21016', '21019', '30291', '21025', '21027']","['3', '3', '2', '2', '1', '1', '0', '1', '1', '2', '2', '3', '4', '4', '4', '5', '3', '3', '2']","['0', '4', '2', '2', '2', '1', '0', '1', '1', '1', '2', '3', '4', '3', '4', '4', '4', '3', '2']","['1644375545', '1644375665', '1644375912', '1644376034', '1644376152', '1644376274', '1644376394', '1644376512', '1644376633', '1644376752', '1644376873', '1644376994', '1644377115', '1644377233', '1644377354', '1644377475', '1644377592', '1644377714', '1644377834']",[]
['649275'],['15'],"['8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076', '8076']","['341', '12196', '17785', '17788', '31540', '24039', '342', '20993', '20998', '343', '30290', '21014', '21017', '30291', '21025', '21027', '30550', '21032', '21037', '345', '21042', '21044', 'null']","['3', '5', '2', '3', '2', '1', '1', '1', '-1', '0', '0', '0', '-1', '-4', '-4', '-4', '-5', '-6', '-6', '0', '0', '0', '-6']","['0', '0', '2', '3', '3', '-2', '1', '2', '2', '0', '0', '0', '-1', '-4', '-4', '-5', '-4', '-5', '-5', '-6', '-6', '-6', '-6']","['1644374345', '1644374585', '1644374824', '1644374945', '1644375065', '1644375184', '1644375305', '1644375425', '1644375545', '1644375665', '1644375794', '1644375912', '1644376034', '1644376152', '1644376274', '1644376394', '1644376512', '1644376633', '1644376752', '1644376873', '1644376994', '1644377115', '1644377834']",[]
['649276'],['15'],"['8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089', '8089']","['341', '4355', '17785', '17787', '20988', '24038', '24039', '31347', '342', '20994', '20999', '343', '21005', '21010', '30791', '21019', '30291', '21027', '21030', '21037', '21038', '21040', '21042', '21044', 'null']","['9', '8', '7', '5', '4', '6', '13', '13', '12', '12', '12', '12', '11', '12', '12', '12', '10', '9', '9', '9', '9', '10', '-6', '0', '0']","['8', '8', '8', '5', '-1', '1', '8', '8', '12', '12', '12', '11', '11', '12', '11', '12', '10', '9', '9', '9', '9', '9', '9', '9', '9']","['1644373496', '1644373616', '1644373733', '1644373863', '1644373984', '1644374105', '1644374585', '1644374705', '1644374824', '1644374945', '1644375065', '1644375184', '1644375305', '1644375425', '1644375545', '1644375665', '1644375912', '1644376034', '1644376152', '1644376274', '1644376394', '1644376512', '1644376633', '1644376752', '1644376873']",[]
['649277'],['15'],"['8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136', '8136']","['341', '30799', '17785', '20986', '31540', '31347', '342', '20993', '20999', '343', '21006', '21010', '21014', '21018', '30291', '21025', '344', '21028', '21032', '21035', '21037', '21041', '21044', 'null']","['3', '2', '0', '-1', '-1', '0', '-1', '-1', '-1', '-1', '-2', '-3', '-2', '-2', '-4', '-4', '-4', '-5', '-6', '-5', '0', '0', '0', '0']","['3', '3', '0', '-1', '-5', '-5', '-1', '-1', '-2', '-2', '-2', '-4', '-3', '-2', '-2', '-5', '-5', '-5', '-5', '-5', '-5', '-6', '-6', '-6']","['1644372056', '1644372173', '1644372416', '1644372532', '1644372652', '1644372772', '1644372893', '1644373017', '1644373136', '1644373253', '1644373372', '1644373496', '1644373616', '1644373733', '1644373863', '1644373984', '1644374105', '1644374225', '1644374345', '1644374466', '1644374585', '1644374705', '1644374945', '1644375665']",[]
['649278'],['15'],"['8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146', '8146']","['30799', '17785', '17788', '20988', '24039', '31347', '481', '342', '20993', '20999', '21002', '21006', '30290', '30791', '21017', '21022', '30291', '344', '30550', '21033', '21037', '21038']","['1', '0', '1', '-1', '-1', '1', '5', '4', '4', '4', '3', '5', '4', '4', '4', '5', '3', '2', '2', '2', '2', '2']","['1', '0', '1', '-5', '-4', '-4', '-4', '5', '4', '4', '3', '5', '5', '4', '4', '5', '4', '3', '2', '2', '3', '2']","['1644370972', '1644371337', '1644371452', '1644371575', '1644371692', '1644371812', '1644372056', '1644372173', '1644372293', '1644372416', '1644372532', '1644372652', '1644372772', '1644372892', '1644373017', '1644373136', '1644373253', '1644373372', '1644373496', '1644373616', '1644373733', '1644373863']",[]
['649279'],['15'],"['8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137', '8137']","['20988', '24038', '23992', '342', '20993', '20996', '21001', '21005', '21008', '21009', '21017', '21021', '30291', '344', '21028', '21032', '21035', '21038', '21041', '21044', 'null']","['0', '1', '2', '2', '3', '1', '0', '1', '3', '2', '1', '0', '0', '-2', '-2', '-3', '-3', '-2', '-1', '0', '0']","['2', '-3', '0', '1', '2', '2', '1', '1', '2', '1', '1', '1', '1', '-1', '-2', '-3', '-3', '-2', '-2', '-2', '-2']","['1644370735', '1644370856', '1644370972', '1644371092', '1644371216', '1644371337', '1644371452', '1644371575', '1644371692', '1644371812', '1644371932', '1644372056', '1644372173', '1644372293', '1644372416', '1644372532', '1644372652', '1644372772', '1644372893', '1644373017', '1644374585']",[]
['649280'],['15'],"['8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149', '8149']","['21002', '21005', '21006', '21009', '21017', '21019', '21022', '30291', '344', '21027', '21032', '21035', '21037', '345', '21041', '21481', 'null']","['5', '5', '5', '4', '4', '5', '5', '4', '4', '4', '3', '3', '4', '4', '4', '4', '0']","['5', '5', '5', '5', '5', '5', '6', '5', '4', '4', '4', '4', '4', '4', '5', '4', '4']","['1644370735', '1644370856', '1644370972', '1644371092', '1644371216', '1644371337', '1644371452', '1644371575', '1644371692', '1644371812', '1644371932', '1644372056', '1644372173', '1644372293', '1644372416', '1644372532', '1644373253']",[]
['649281'],['15'],"['8074', '8074', '8074', '8074', '8074', '8074', '8074', '8074']","['21026', '21028', '21032', '21037', '345', '21042', '21044', 'null']","['2', '2', '1', '1', '1', '-13', '0', '0']","['3', '2', '1', '2', '1', '1', '0', '0']","['1644370735', '1644370856', '1644370972', '1644371092', '1644371216', '1644371337', '1644371452', '1644372056']",[]
['649282'],['15'],['8079'],['null'],['1'],['0'],['1644371092'],[]
